run_id,policy,budget_fraction,contact_cost_assumption,value_per_conversion_assumption,target_fraction,gross_incremental_conversions_per_customer_ipw,gross_incremental_conversions_per_customer_dr,net_scenario_value_per_customer_ipw,net_scenario_value_per_customer_dr,is_monetary_observation,interpretation
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.3,0.0,1.0,0.2999994992700072,0.0009302060455244053,0.0007732901943071836,0.0009302060455244053,0.0007732901943071836,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.3,0.0,1.0,0.2999994992700072,0.0011456458841821958,0.0009577014259751298,0.0011456458841821958,0.0009577014259751298,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.3,0.00025,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.3,0.00025,1.0,0.2999994992700072,0.00034980905191057016,0.00030364304060067867,0.0002748091770930684,0.00022864316578317687,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.3,0.00025,1.0,0.2999994992700072,0.001120679470415842,0.0009425493779013664,0.0010456795955983403,0.0008675495030838646,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.3,0.00025,1.0,0.2999994992700072,0.0011456458841821958,0.0009574665129842925,0.001070646009364694,0.0008824666381667907,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.3,0.00025,1.0,0.2999994992700072,0.0011456458841821958,0.0009577014259751298,0.001070646009364694,0.000882701551157628,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.3,0.00025,1.0,0.2999994992700072,0.0009302060455244053,0.0007732901943071836,0.0008552061707069034,0.0006982903194896817,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.3,0.00025,1.0,0.2987419516595265,0.0011456458841821958,0.0009574266771608426,0.0010709603962673142,0.000882741189245961,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.3,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.3,0.0005,1.0,0.2999994992700072,0.00034980905191057016,0.00030364304060067867,0.00019980930227556657,0.00015364329096567508,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.3,0.0005,1.0,0.2999994992700072,0.001120679470415842,0.0009425493779013664,0.0009706797207808383,0.0007925496282663628,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.3,0.0005,1.0,0.2999994992700072,0.0011456458841821958,0.0009574665129842925,0.0009956461345471922,0.0008074667633492889,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.3,0.0005,1.0,0.2999994992700072,0.0011456458841821958,0.0009577014259751298,0.0009956461345471922,0.0008077016763401261,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.3,0.0005,1.0,0.2999994992700072,0.0009302060455244053,0.0007732901943071836,0.0007802062958894016,0.00062329044467218,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.3,0.0005,1.0,0.19363801084295032,0.0011335835454290236,0.000944332208652564,0.0010367645400075486,0.0008475132032310888,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.3,0.001,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
