model,budget_fraction,gross_value_per_customer,ci_low,ci_high,reference_value,policy_value_delta_vs_response,fold_seed,stage
DINA-CATE-Sentinel,0.3,0.0009383970020576,0.0007124468871177,0.0011437241862183,0.0009596851438702,-2.1288141812600024e-05,202,screen
Response,0.01,0.00041151256857272335,,,0.00041151256857272335,0.0,101,finalist
Response,0.02,0.0005646498021375581,,,0.0005646498021375581,0.0,101,finalist
Response,0.05,0.0007486819578481478,,,0.0007486819578481478,0.0,101,finalist
Response,0.1,0.0008406239084857856,,,0.0008406239084857856,0.0,101,finalist
Response,0.15,0.0008895411006928784,,,0.0008895411006928784,0.0,101,finalist
Response,0.2,0.0009260243462231619,,,0.0009260243462231619,0.0,101,finalist
Response,0.25,0.0009422565674786806,,,0.0009422565674786806,0.0,101,finalist
Response,0.3,0.000952183471518605,,,0.000952183471518605,0.0,101,finalist
Response-Sentinel,0.01,0.00040220618588773295,,,0.00041151256857272335,-9.306382684990408e-06,101,finalist
Response-Sentinel,0.02,0.0005621561915390847,,,0.0005646498021375581,-2.493610598473372e-06,101,finalist
Response-Sentinel,0.05,0.0007496545015029286,,,0.0007486819578481478,9.725436547808244e-07,101,finalist
Response-Sentinel,0.1,0.0008427424040449032,,,0.0008406239084857856,2.118495559117568e-06,101,finalist
Response-Sentinel,0.15,0.0008905431252825105,,,0.0008895411006928784,1.0020245896321441e-06,101,finalist
Response-Sentinel,0.2,0.0009326863150637874,,,0.0009260243462231619,6.661968840625493e-06,101,finalist
Response-Sentinel,0.25,0.0009407036374030119,,,0.0009422565674786806,-1.5529300756687587e-06,101,finalist
Response-Sentinel,0.3,0.0009520949077136511,,,0.000952183471518605,-8.856380495387162e-08,101,finalist
Response,0.01,0.0004414217970411443,,,0.0004414217970411443,0.0,202,finalist
Response,0.02,0.0006019366238321104,,,0.0006019366238321104,0.0,202,finalist
Response,0.05,0.0007647811657214356,,,0.0007647811657214356,0.0,202,finalist
Response,0.1,0.0008552533589977086,,,0.0008552533589977086,0.0,202,finalist
Response,0.15,0.0009042879018080034,,,0.0009042879018080034,0.0,202,finalist
Response,0.2,0.0009484392476377451,,,0.0009484392476377451,0.0,202,finalist
Response,0.25,0.0009589643736266671,,,0.0009589643736266671,0.0,202,finalist
Response,0.3,0.0009693869040292596,,,0.0009693869040292596,0.0,202,finalist
Response-Sentinel,0.01,0.000440564044082108,,,0.0004414217970411443,-8.577529590363163e-07,202,finalist
Response-Sentinel,0.02,0.0006141441478697777,,,0.0006019366238321104,1.2207524037667291e-05,202,finalist
Response-Sentinel,0.05,0.0007487821780071424,,,0.0007647811657214356,-1.59989877142932e-05,202,finalist
Response-Sentinel,0.1,0.0008510679525143697,,,0.0008552533589977086,-4.185406483338825e-06,202,finalist
Response-Sentinel,0.15,0.0009051865493573983,,,0.0009042879018080034,8.986475493949009e-07,202,finalist
Response-Sentinel,0.2,0.0009435564251488278,,,0.0009484392476377451,-4.88282248891725e-06,202,finalist
Response-Sentinel,0.25,0.0009615957338521825,,,0.0009589643736266671,2.631360225515333e-06,202,finalist
Response-Sentinel,0.3,0.0009723972570061544,,,0.0009693869040292596,3.010352976894797e-06,202,finalist
