model,decile,target_fraction,n_decile,mean_score_decile,decile_n_treatment,decile_n_control,decile_conversion_treatment,decile_conversion_control,decile_observed_uplift_rate,decile_uplift_ci_low,decile_uplift_ci_high,n_targeted_cumulative,mean_score_cumulative,cumulative_n_treatment,cumulative_n_control,cumulative_conversion_treatment,cumulative_conversion_control,cumulative_observed_uplift_rate,cumulative_uplift_ci_low,cumulative_uplift_ci_high,estimated_incremental_conversions_cumulative,incremental_conversions_ci_low,incremental_conversions_ci_high,share_of_full_incremental_estimate
X-Learner,6,0.6,209694,5.324506320290045e-05,177705,31989,0.00016319180664584564,6.252149176279346e-05,0.00010067031488305218,-4.37775448934855e-06,0.0002057183842554529,1258164,0.0011254461275659647,1070937,187227,0.004906917960627003,0.003113867123865682,0.0017930508367613208,0.001508080534186343,0.002078021139336299,2255.9520129829707,1897.4126372140258,2614.491388751915,0.935242665112433
X-Learner,7,0.7,209694,2.6315682683309285e-05,177858,31836,0.00012369418299992127,9.423294383716548e-05,2.9461239162755797e-05,-8.903450330868053e-05,0.00014795698163419212,1467858,0.000968427492582728,1248795,219063,0.004225673549301526,0.0026750295577071437,0.0015506439915943825,0.0013062478623572487,0.0017950401208315164,2276.125188213747,1917.3863747439864,2634.864001683508,0.9436057925451237
X-Learner,8,0.8,209694,2.042448837014298e-07,177971,31723,0.0001292345382112816,6.304573968414085e-05,6.618879852714076e-05,-3.590666913325441e-05,0.00016828426618753592,1677552,0.0008473995866203495,1426766,250786,0.003714694631074752,0.0023446284880336223,0.0013700661430411298,0.0011560658674739234,0.0015840664186083362,2298.3571983909333,1939.3606081126152,2657.3537886692516,0.9528224444638075
X-Learner,9,0.9,209694,-7.21616961643051e-05,178138,31556,0.00026384039340286746,0.00012675877804537965,0.0001370816153574878,-8.238184548649648e-06,0.0002824014152636253,1887246,0.000745226110755388,1604904,282342,0.0033316634515210878,0.002096747915648398,0.0012349155358726896,0.0010440824873301133,0.0014257485844152659,2330.58940541359,1970.440497883807,2690.738312943373,0.9661848453592351
X-Learner,10,1.0,209694,-0.0005472972513567305,177495,32199,0.0009014338432068509,0.0005590235721606261,0.00034241027104622477,4.889492310864639e-05,0.0006359256189838031,2096940,0.0006159737745441762,1782399,314541,0.0030896561319884042,0.0019393338229356427,0.0011503223090527615,0.0009763154533005904,0.0013243291648049327,2412.156862745098,2047.27492664414,2777.0387988460557,1.0
DR-Learner,1,0.1,209694,0.010064698770320152,180936,28758,0.023295529911128796,0.015682592669865776,0.00761293724126302,0.00601757867235971,0.00920829581016633,209694,0.010064698770320152,180936,28758,0.023295529911128796,0.015682592669865776,0.00761293724126302,0.00601757867235971,0.00920829581016633,1596.3872618694077,1261.850142121797,1930.9243816170183,0.6618090583266119
DR-Learner,2,0.2,209694,0.0006103758747073719,178701,30993,0.0014885199299388364,0.0007743684057690447,0.0007141515241697918,0.0003565753813675891,0.0010717276669719943,419388,0.005337537322513762,359637,59751,0.012459785839610497,0.007949657746313869,0.004510128093296628,0.003711076355958927,0.0053091798306343285,1891.4936007914862,1556.3808907729026,2226.6063108100698,0.7841503303557616
DR-Learner,3,0.3,209694,0.00022245265140507364,178192,31502,0.0008025051629702792,0.0006983683575645991,0.00010413680540568009,-0.00021585093825941695,0.00042412454907077713,629082,0.003632509098810865,537829,91253,0.008597528210639442,0.005446396282861934,0.003151131927777508,0.0026136211390196708,0.0036886427165353456,1982.3203753901305,1644.1820133767726,2320.458737403488,0.8218040899438844
DR-Learner,4,0.4,209694,0.00010537396407343134,177413,32281,0.0007778460428491712,0.00046466961990025094,0.0003131764229489202,4.465781905169667e-05,0.0005816950268461437,838776,0.0027507253151265072,715242,123534,0.006657886421658684,0.004144607962180452,0.0025132784594782314,0.0021084642316389667,0.002918092687317496,2108.077653127313,1768.5291943572058,2447.6261118974203,0.8739388742439683
DR-Learner,5,0.5,209694,4.788426288420299e-05,177658,32036,0.00018575014916299856,9.364464976900986e-05,9.21054993939887e-05,-3.1361867193800005e-05,0.00021557286598177742,1048470,0.002210157104678046,892900,155570,0.005370142233172808,0.0033104068907887124,0.0020597353423840955,0.0017365388811124535,0.0023829318036557375,2159.5707144294524,1820.7089206799742,2498.432508178931,0.895286184652106
