model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Rank-K1,0.25,0.0008589633674071688,0.000648641018860587,0.001056207493993978
Rank-K1,0.3,0.0008766304548806273,0.0006624863626278137,0.0010731648931172695
Rank-K05,0.01,0.00021607405195310457,0.00014193748110485487,0.00028252668040708556
Rank-K05,0.02,0.00027518269322900324,0.00015024922068293333,0.0003823016991779577
Rank-K05,0.05,0.0004802997170832518,0.00033066297272684245,0.0006388945010559422
Rank-K05,0.1,0.0006569177291814691,0.0004901347453815788,0.0008584888904386582
Rank-K05,0.15,0.0007387699929360187,0.000553887162574134,0.0009250790322807574
Rank-K05,0.2,0.0008284673863023401,0.0006265218421536089,0.001019224713926006
Rank-K05,0.25,0.000871641707762135,0.000658914530009761,0.0010665345706682922
Rank-K05,0.3,0.0008742677067555087,0.0006608510828289626,0.0010794038303109106
Rank-K2,0.01,0.00010065868810553864,8.393728534392626e-06,0.0001846219359435377
Rank-K2,0.02,0.0002621616867929528,0.00014246484620459462,0.0003959025720635715
Rank-K2,0.05,0.00047894563911621686,0.00031514133419295213,0.0006557332838136552
Rank-K2,0.1,0.0006213869911508307,0.000458547809633313,0.0008037683529812186
Rank-K2,0.15,0.0007881009269653118,0.0005888426574376367,0.0009814973670192926
Rank-K2,0.2,0.000800768381673689,0.0005959211623965186,0.0009968499942828017
Rank-K2,0.25,0.0008514705550685902,0.0006418160934126895,0.0010492472716858892
Rank-K2,0.3,0.0008534050328481068,0.0006370030749133222,0.0010561137899122292
