stage,bin_left,bin_right,bin_mid,density
0p3,0.031074872577212292,0.03167387308367928,0.031374372830445786,0.27147643335952076
0p3,0.03167387308367928,0.03227287359014626,0.03197337333691277,0.2808376896822645
0p3,0.03227287359014626,0.03287187409661324,0.03257237384337975,0.239380697395835
0p3,0.03287187409661324,0.03347087460308022,0.03317137434984673,0.2621151770367802
0p3,0.03347087460308022,0.034069875109547204,0.03377037485631371,0.2928735906686473
0p3,0.034069875109547204,0.034668875616014186,0.034369375362780695,0.27013911102770205
0p5,-0.001271154772004724,-0.0006721542655377423,-0.0009716545187712332,35.53688117406847
0p5,-0.0006721542655377423,-7.315375907076052e-05,-0.0003726540123042514,156.11257417555714
0p5,-7.315375907076052e-05,0.0005258467473962213,0.00022634649416273037,1156.5811879525252
0p5,0.0005258467473962213,0.001124847253863203,0.0008253470006297121,116.56984000967493
0p5,0.001124847253863203,0.0017238477603301848,0.001424347507096694,49.35892186222803
0p5,0.0017238477603301848,0.0023228482667971666,0.0020233480135636757,28.935177597306833
0p5,0.0023228482667971666,0.0029218487732641484,0.0026223485200306575,20.44865029034162
0p5,0.0029218487732641484,0.00352084927973113,0.0032213490264976392,16.33513899509767
0p5,0.00352084927973113,0.004119849786198112,0.003820349532964621,13.036295757153983
0p5,0.004119849786198112,0.004718850292665094,0.004419350039431603,9.654700241200507
0p5,0.004718850292665094,0.0053178507991320755,0.0050183505458985846,7.862269831104947
0p5,0.0053178507991320755,0.005916851305599057,0.005617351052365566,6.584028332914882
0p5,0.005916851305599057,0.006515851812066039,0.006216351558832548,5.444778524974272
0p5,0.006515851812066039,0.007114852318533021,0.00681535206529953,4.2934774144108765
0p5,0.007114852318533021,0.0077138528250000025,0.007414352571766512,3.5663821561695137
0p5,0.0077138528250000025,0.008312853331466984,0.008013353078233493,3.0610308661873953
0p5,0.008312853331466984,0.008911853837933966,0.008612353584700475,2.746893577820132
0p5,0.008911853837933966,0.009510854344400948,0.009211354091167457,2.410260524557004
0p5,0.009510854344400948,0.01010985485086793,0.009810354597634439,2.129063463358687
0p5,0.01010985485086793,0.010708855357334911,0.01040935510410142,1.9973025546829042
0p5,0.010708855357334911,0.011307855863801893,0.011008355610568402,1.8301911583136183
0p5,0.011307855863801893,0.011906856370268875,0.011607356117035384,1.6381737365239104
0p5,0.011906856370268875,0.012505856876735857,0.012206356623502366,1.560241979563234
0p5,0.012505856876735857,0.013104857383202839,0.012805357129969348,1.4365152726359744
0p5,0.013104857383202839,0.01370385788966982,0.01340435763643633,1.2902928008128496
0p5,0.01370385788966982,0.014302858396136802,0.014003358142903311,1.2661901955672794
0p5,0.014302858396136802,0.014901858902603784,0.014602358649370293,1.164155833361033
0p5,0.014901858902603784,0.015500859409070766,0.015201359155837275,1.1271985053178255
0p5,0.015500859409070766,0.016099859915537747,0.015800359662304257,1.0516770088817062
0p5,0.016099859915537747,0.01669886042200473,0.01639936016877124,1.013112840488794
0p5,0.01669886042200473,0.01729786092847171,0.01699836067523822,0.9343776633532652
0p5,0.01729786092847171,0.017896861434938693,0.017597361181705202,0.8419843432452467
0p5,0.017896861434938693,0.018495861941405674,0.018196361688172184,0.7576252248857516
0p5,0.018495861941405674,0.019094862447872656,0.018795362194639165,0.7045994933454975
0p5,0.019094862447872656,0.019693862954339638,0.019394362701106147,0.6788900477502228
0p5,0.019693862954339638,0.02029286346080662,0.01999336320757313,0.5864967276422044
0p5,0.02029286346080662,0.0208918639672736,0.02059236371404011,0.5672146434457482
0p5,0.0208918639672736,0.021490864473740583,0.021191364220507092,0.5270436347031315
0p5,0.021490864473740583,0.022089864980207565,0.021790364726974074,0.5005307689330045
0p5,0.022089864980207565,0.022688865486674547,0.022389365233441056,0.5254367943534269
0p5,0.022688865486674547,0.02328786599314153,0.022988365739908038,0.48446236543595783
0p5,0.02328786599314153,0.02388686649960851,0.02358736624637502,0.4587529198406831
0p5,0.02388686649960851,0.024485867006075492,0.024186366752842,0.43224005407055605
0p5,0.024485867006075492,0.025084867512542474,0.024785367259308983,0.43465031459511305
0p5,0.025084867512542474,0.025683868019009456,0.025384367765775965,0.38483826375426833
0p5,0.025683868019009456,0.026282868525476438,0.025983368272242947,0.3856416839291206
0p5,0.026282868525476438,0.02688186903194342,0.02658236877870993,0.35270145676017495
0p5,0.02688186903194342,0.0274808695384104,0.02718136928517691,0.30931676731814883
0p5,0.0274808695384104,0.028079870044877383,0.027780369791643892,0.33663305326312826
0p5,0.028079870044877383,0.028678870551344365,0.028379370298110874,0.32136806994093386
0p5,0.028678870551344365,0.029277871057811346,0.028978370804577856,0.30931676731814883
0p5,0.029277871057811346,0.029876871564278328,0.029577371311044837,0.3221714901157862
0p5,0.029876871564278328,0.03047587207074531,0.03017637181751182,0.3012825655696255
0p5,0.03047587207074531,0.031074872577212292,0.0307753723239788,0.2900346831216928
0p5,0.031074872577212292,0.03167387308367928,0.031374372830445786,0.33341937256371695
0p5,0.03167387308367928,0.03227287359014626,0.03197337333691277,0.3052996664438872
0p5,0.03227287359014626,0.03287187409661324,0.03257237384337975,0.26191497700186106
0p5,0.03287187409661324,0.03347087460308022,0.03317137434984673,0.24182947263055274
0p5,0.03347087460308022,0.034069875109547204,0.03377037485631371,0.26111155682700876
0p5,0.034069875109547204,0.034668875616014186,0.034369375362780695,0.25388077525333774
